parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_symbol,Atg4c
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:2651854
analysis_id,a1y0i22gs911xfd
pvalue,1.023489
