parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
pvalue,0.4429174
gene_accession_id,MGI:3026886
analysis_id,rp527i2y3843s05
mouse_life_stage,Early adult
