analysis_id,c7yih81tj2w8v68
mouse_strain,C57BL
parameter_name,Lens Opacity
gene_accession_id,MGI:2448481
pvalue,0.488881
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
gene_symbol,Mgst2
