parameter_name,Retina (combined)
gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,t8bg31owf7bx62u
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.0726498
parameter_id,IMPC_EYE_092_002
