analysis_id,y30r1kni35yr315
pvalue,0.06814294
gene_symbol,Zmynd8
parameter_name,Body Weight
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:1918025
