parameter_name,Distance travelled - total
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.375634
gene_symbol,Mms22l
analysis_id,9y88z7wu98m5152
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:2684980
