analysis_id,28e9nd9n6914tmm
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_id,HMGULA_CBC_005_001
pvalue,0.6456662
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Creatinine
