parameter_name,Fusion of vertebrae
pvalue,0.1621454
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:105072
analysis_id,6fym9del14h01v4
gene_symbol,Rab22a
mouse_strain,C57BL
