parameter_name,Total holepokes
analysis_id,22dn5469bk65y39
gene_accession_id,MGI:1917810
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.3546956
mouse_life_stage,E12.5
