analysis_id,f5d5c3x685688m9
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
parameter_id,M-G-P_005_001_001
pvalue,0.05656861
parameter_name,Weight
mouse_strain,C57BL
mouse_life_stage,Early adult
