gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
analysis_id,qiz29uv3sauaz26
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
parameter_name,Stroke Volume
pvalue,0.1834275
