gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_id,IMPC_ECG_004_001
mouse_strain,C57BL
analysis_id,r7j46ryp4zp93h4
mouse_life_stage,Early adult
pvalue,0.7623238
parameter_name,RR
