analysis_id,uga401200djxz27
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.8733053
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
gene_symbol,Rab17
