analysis_id,zx1w4tmw4b0jvxv
parameter_name,Fasted blood glucose concentration
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.8503966
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:2446274
