analysis_id,4bv7384v2425b51
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
pvalue,0.3467092
