analysis_id,nk481hp0745k5of
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.5786911
gene_symbol,ARNT
mouse_strain,C57BL
parameter_name,Neural tube closure
