parameter_name,Head coat/hair presence
gene_symbol,Dnajc6
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,gq6evb2f008z3b0
gene_accession_id,MGI:1919935
pvalue,0.2728889
