gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.3242367
parameter_id,JAX_OFD_020_001
analysis_id,3nobhef76244n2q
mouse_strain,C57BL
parameter_name,Distance travelled - total
