analysis_id,o8r60as855q671y
pvalue,0.6541902
gene_symbol,Hspa5
parameter_name,% Freezing duration habituation-1
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ICS_FEA_016_001
