analysis_id,7j14xf9q1l3id5r
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
pvalue,0.6965071
mouse_life_stage,Early adult
gene_symbol,Cds2
mouse_strain,C57BL
gene_accession_id,MGI:1332236
