analysis_id,12400nm5oc9064q
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1332236
pvalue,0.7018916
gene_symbol,Cds2
parameter_name,Retina (combined)
mouse_strain,129SV
mouse_life_stage,Early adult
