analysis_id,elz68gf1di2mi6o
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
mouse_strain,C57BL
pvalue,0.4784846
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
