gene_symbol,Ncaph
pvalue,0.4578479
gene_accession_id,MGI:2444777
parameter_name,Glucose
mouse_strain,C57BL
analysis_id,5z6778n99uqr414
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
