mouse_life_stage,E9.5
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1915087
pvalue,0.1198528
analysis_id,q4774kuet4i2f8g
mouse_strain,C55BL
parameter_name,Total holepokes
gene_symbol,Tiprl
