gene_symbol,Lcn2
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.9983362
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
analysis_id,71r954dda7d80r3
gene_accession_id,MGI:96757
