parameter_name,Iron
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
analysis_id,thmo1m02eqz6z86
pvalue,0.6593267
gene_accession_id,MGI:109356
mouse_strain,C57BL
