analysis_id,93b3d74yuo4kgwm
pvalue,0.4802648
mouse_strain,C57BL
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
