analysis_id,z751cr35n73cv26
mouse_life_stage,Late adult
gene_symbol,AU040320
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.586126
parameter_id,IMPC_HEM_039_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
