analysis_id,10101o38zbzkpxj
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:2135738
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
gene_symbol,Abo
pvalue,0.4212602
mouse_strain,C57BL
