gene_symbol,Ppm1j
pvalue,0.4562121
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1919137
analysis_id,w6155ukf6630s56
