analysis_id,bk82v1gi4r63707
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1914944
parameter_name,Bone Mineral Content
mouse_strain,C57BL
gene_symbol,Ift74
mouse_life_stage,Early adult
pvalue,0.8586365
