parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,9amz9npfm0e396d
pvalue,0.5272572
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
