parameter_name,Eyelid morphology
mouse_life_stage,Early adult
analysis_id,z7q46l925lq8y8d
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:105073
pvalue,0.8967694
gene_symbol,Tnni1
mouse_strain,C57BL
