gene_symbol,Col6a3
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
pvalue,0.6836207
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,f4by467flg5etly
