gene_symbol,Golm2
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
gene_accession_id,MGI:2443129
parameter_id,MGP_PBI_032_001
analysis_id,7vloia15fixv220
mouse_life_stage,Early adult
pvalue,0.5322594
