parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
pvalue,0.7513381
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,sj3de8p5766950r
