parameter_name,Vibrissae - appearance
mouse_strain,C57BL
pvalue,0.6390958
gene_symbol,Eprs1
mouse_life_stage,Early adult
analysis_id,5u867x96x7204lq
parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:97838
