gene_symbol,Ola1
analysis_id,18depd6309b71io
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.5250166
gene_accession_id,MGI:1914309
