parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.9068734
analysis_id,78u3t4op8cndg4v
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
gene_symbol,Cdin1
