gene_symbol,Pglyrp3
analysis_id,o0mv0vwuert1860
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
parameter_name,Stroke Volume
pvalue,0.7644507
