gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
analysis_id,9tl4h87htx7x143
mouse_life_stage,Early adult
parameter_id,MGP_PBI_040_001
parameter_name,Eosinophil number
mouse_strain,C59BL
pvalue,0.3101841
