analysis_id,dom6i474tb8i5r2
gene_accession_id,MGI:1933159
parameter_id,IMPC_EYE_026_001
gene_symbol,Rnf114
mouse_strain,C51BL
pvalue,0.9162937
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
