gene_symbol,Dmap1
parameter_name,CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_130_001
mouse_life_stage,E9.5
pvalue,0.748963
analysis_id,4sf26ertisl1g9s
mouse_strain,C57BL
gene_accession_id,MGI:1913483
