analysis_id,6ffb062206cak2u
gene_symbol,Zmynd8
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
pvalue,0.4133361
gene_accession_id,MGI:1918025
