analysis_id,5z3t323x2ni2hm8
mouse_strain,C57BL
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
pvalue,0.4083924
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
gene_symbol,Tbl1xr1
