parameter_name,Mean cell volume
analysis_id,7nm53vk228w99wn
mouse_strain,C57BL
gene_accession_id,MGI:1922855
parameter_id,ESLIM_016_001_005
pvalue,0.1734695
gene_symbol,Kdm5b
mouse_life_stage,Early adult
