gene_symbol,Morn5
parameter_id,IMPC_ABR_002_001
analysis_id,dr2bwrdn2x21956
mouse_life_stage,Early adult
pvalue,0.681395
gene_accession_id,MGI:1922745
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
