analysis_id,i15m1580uvj781j
pvalue,0.7336315
gene_symbol,Mapkap1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
