parameter_name,NK cell number
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,yap8952r28m308i
parameter_id,MGP_PBI_027_001
pvalue,0.60073
