parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,IMPC_CBC_012_001
gene_symbol,Tbl1xr1
pvalue,0.5882958
mouse_life_stage,Late adult
analysis_id,h3haczc8st4f8a6
