analysis_id,w0j43354z2o21q0
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5945482
parameter_name,Shape of ribcage
gene_symbol,Rgs20
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1929866
