analysis_id,cpzw80v91pi95y2
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
gene_symbol,Mms22l
pvalue,0.9433851
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
mouse_strain,C57BL
