parameter_name,Lumbar processes
gene_accession_id,MGI:95576
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
pvalue,0.672827
mouse_life_stage,Early adult
gene_symbol,Fpgs
analysis_id,440986t2g00088u
