gene_symbol,Secisbp2l
mouse_strain,C56BL
mouse_life_stage,Late adult
parameter_id,ESLIM_007_001_015
pvalue,0.3108915
parameter_name,Number of centre entries
gene_accession_id,MGI:1917604
analysis_id,o3izz7303f9nuf7
