analysis_id,h4p0495m7990h76
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.767903
parameter_name,Coat - hair distribution - back
gene_symbol,Kifap3
gene_accession_id,MGI:107566
parameter_id,IMPC_CSD_011_001
