parameter_name,Vibrissae - presence
analysis_id,53s3xus2qk2jai6
gene_accession_id,MGI:109128
mouse_strain,C57BL
pvalue,0.3419456
gene_symbol,Hnf4a
mouse_life_stage,Late adult
parameter_id,JAXLA_CSD_023_001
