gene_symbol,Atg4c
pvalue,0.4911013
analysis_id,045841cojbui27s
parameter_id,MGP_IMM_010_001
Gene_accession_id,MGI:2651854
mouse_strain,C57BL
Parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
