analysis_id,49lv23hd6u57251
gene_accession_id,MGI:1924054
parameter_id,M-G-P_014_001_009
pvalue,0.2199577
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,lens
gene_symbol,Kdm4c
