gene_symbol,Rgs20
pvalue,0.2911488
gene_accession_id,MGI:1929866
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,64643kowpym16o7
parameter_name,Facial Morphology
