parameter_name,Phosphorus
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
gene_symbol,Cdin1
pvalue,0.1084778
gene_accession_id,MGI:3026886
analysis_id,4i4x3jf487p76dz
mouse_life_stage,E9.5
