gene_symbol,Ssr2
analysis_id,50vn2696o993816
gene_accession_id,MGI:1913506
mouse_strain,C57BL
pvalue,1.481663
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
