parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
analysis_id,k253u4r84f2272u
pvalue,0.6293147
mouse_strain,C57BL
mouse_life_stage,E18.5
