gene_symbol,Mgst2
mouse_strain,C57BL
analysis_id,p142n56979fng38
pvalue,0.4246019
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:2448481
