analysis_id,b340o0b771s0lm9
parameter_name,Chloride
mouse_life_stage,Late adult
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.8935233
gene_accession_id,MGI:1917604
